"1","","","","",""
"2","","","","",""
"3","","","","",""
"4","","","","",""
"5","","","","",""
"6","","","","",""
"83","【新华里】最终鬼畜新华保险踢踏舞+RAP?","蛛葛藏藏","作者：荼荼丸","https://www.bilibili.com/video/av83/","远古巨坟,芙兰朵露·斯卡雷特,镇站之宝,新华里,增员 荼荼丸,业务员,上古巨坟,鬼畜,RAP,荼荼丸,猎奇"
"84","东方太阳香","PAD长的小刀","【sm6471204】 东方神曲","https://www.bilibili.com/video/av84/","东方,东方初作,3L,IOSYS,东方PROJECT,风见幽香,AV84"
"85","","","","",""
"86","最终鬼畜绿⑧娘☆","蛆帕斯POI","绿8娘鬼畜你全教","https://www.bilibili.com/video/av86/","绿坝娘,麦当劳,秋名山车神,蓝蓝路,全程鬼畜,AV(E)86,伪音姬,坟系列,逆向弹幕,鬼,大陆人民头顶青天,五菱 今晚秋名山见"
"87","","","","",""
"88","鬼畜新华增员操第2话『疾风踢踏』","blackfox","直传 旧番补档委员会 神物搬运","https://www.bilibili.com/video/av88/","AV88,荼荼丸,祖坟,新华里"
"89","","","","",""
"90","DeadcodeRR录像集（本当仁crazy）","古赫","自录视频 虫子界的触手才是真正的触手·· BGM取自acfun某人发的Don&#39;t say lazy二胡版 真的crazy","https://www.bilibili.com/video/av90/","100之前的AV,百战天虫,游戏集锦,AV44就是他发的,WA,末日浩劫"
"91","","","","",""
"92","","","","",""
"93","週刊VOCALOIDランキング #93","Kresnik·Akatsuki","搬运之~","https://www.bilibili.com/video/av93/","B站第一个周刊,VOCALOID,远古,VOCARAN"
"94","【初音ミク】シドと白昼夢を歌ってもらった 【椎名林檎】","Kresnik·Akatsuki","画风有点崩~ 【sm7374090】","https://www.bilibili.com/video/av94/","初音MIKU,上古老坟,AV 94"
"95","『骸Attack!!』を歌ってみてしまった","Kresnik·Akatsuki","猎奇向~慎入 【sm7626069】","https://www.bilibili.com/video/av95/","猎奇,AV 95"
"96","【HKG】【7月新番】简单易懂的现代魔法01话 HELLO WORLD","芙兰的枕头","LOLILOLI没有穿内裤~啊,封面党的感觉真好.","https://www.bilibili.com/video/av96/","吓死人的老坟,第一部新番,简单易懂的现代魔法,7月新番,无檀木,AV548529"
"97","【銷魂MAX】 ロミオとシンデレラ 【ver.よっぺい】","Kresnik·Akatsuki","销魂男激情翻唱","https://www.bilibili.com/video/av97/","罗密欧与灰姑娘,YOPPEI,销魂叔,よっぺい,AV 97,高能在后面"
"98","【騷音少年】「Cagayake!GIRLS」中毒銷魂版【ver.よっぺい】","Kresnik·Akatsuki","没中毒你就输了","https://www.bilibili.com/video/av98/","よっぺい,销魂叔两杀,考古系列"
"99","","","","",""
"100","【基片60分】寨主的灭亡","丸子","管理员帮忙修复一下.... - -丸子自重啦~","https://www.bilibili.com/video/av100/","镇站之宝,元首,诈尸,100,德国,探索频道,红毛馆"
"101","初音ミクの消失-DEAD END- 【中文字幕】","囧.史密斯","在网上搜到的自带中文字幕.. 这里没有字幕君 看这个比较方便吧","https://www.bilibili.com/video/av101/","考古用巨坟,考古尽头是AV07,初音MIKU,AV1是公告,AV101,第一个在AV007"
"102","羊叔会出现的 叫声什么最讨厌了。。。。。","丸子","前30秒测试弹幕 后3分钟测试观看者 继续广告 500大妈群：58556503","https://www.bilibili.com/video/av102/","搞基,基佬,NHK,丸子,羊叔,还是这个UP主,红毛馆"
"103","","","","",""
"104","矢岛美容室·三部曲·","BlackTeaice","画质什么的太残念了=3=……（Orz……|PS，次女越来越不好看了=3=）","https://www.bilibili.com/video/av104/","考古,公开课,矢岛美容室"
"105","东方风神录L灵梦B灵击封印(noB)ALL","月野うさぎ","FSL正式版接触STG到现在，fsl打高分都需要放b刷分...目前我还对分数不是很执著而且不是太喜欢放b的那种感觉故半年前给自己制订了一个目标，7月12号终于达成,只为分享,顺便群6574102","https://www.bilibili.com/video/av105/","考古专用,东方PROJECT,游戏集锦,东方,考古,演示,AV105"
"106","最终鬼畜蓝蓝路","TSA","sm2057168 把这个音mad的图腾和支柱从UP的怒火中搬出来重新立好，这是我所能做的最后的事情了。","https://www.bilibili.com/video/av106/",""
"107","最终鬼畜二小姐.芙兰朵露","师酱","嘛 这可一点不好笑 怎么能少了教皇了 高清源有点问题 再次替换了下","https://www.bilibili.com/video/av107/",""
"108","【NICO技术部】技术型宅女的游戏机","精灵贝壳","改造忒强的妹抖。PS：妹抖在P2. SM7453473","https://www.bilibili.com/video/av108/","游戏集锦,XBOX,拾肆考古,强大,技术类第一视频"
"109","","","","",""
"110","【初音ミク】ＳＥＴＳＵＮＡ","雁归来","【sm4183964】 老物。不知道这边做字幕会怎么样，话说怎么没字幕测试啊？","https://www.bilibili.com/video/av110/","被遗忘的神曲,初音MIKU"
"111","","","","",""
"112","","","","",""
"113","","","","",""
"114","","","","",""
"115","","","","",""
"116","怒首领蜂BOSS战BGM欣赏","超氪金月饼w","街机STG系列游戏：怒首领蜂BOSS战BGM欣赏 PS：我想看看审核有多快（—哗—）","https://www.bilibili.com/video/av116/","STG,BGM,怒首领蜂"
"117","【MUGEN】","阿尔托莉雅℡","额.发下这里吧.最近闲的蛋疼```第一次发下试试","https://www.bilibili.com/video/av117/","B站最早的MUGEN,北斗神拳,拳皇,士官长,格斗,MUGEN"
"118","","","","",""
"119","[技术宅][GO MY WAY][布鲁斯电吉他演奏~]","duo001","神打码","https://www.bilibili.com/video/av119/","神AV号,119,请拨打火警"
"120","","","","",""
